g/h n m    2010.0   2015.0 2015-20
g  1  0 -29496.57 -29442.0    10.3
g  1  1  -1586.42  -1501.0    18.1
h  1  1   4944.26   4797.1   -26.6
g  2  0  -2396.06  -2445.1    -8.7
g  2  1   3026.34   3012.9    -3.3
h  2  1  -2708.54  -2845.6   -27.4
g  2  2   1668.17   1676.7     2.1
h  2  2   -575.73   -641.9   -14.1
g  3  0   1339.85   1350.7     3.4
g  3  1  -2326.54  -2352.3    -5.5
h  3  1   -160.40   -115.3     8.2
g  3  2   1232.10   1225.6    -0.7
h  3  2    251.75    244.9    -0.4
g  3  3    633.73    582.0   -10.1
h  3  3   -537.03   -538.4     1.8
g  4  0    912.66    907.6    -0.7
g  4  1    808.97    813.7     0.2
h  4  1    286.48    283.3    -1.3
g  4  2    166.58    120.4    -9.1
h  4  2   -211.03   -188.7     5.3
g  4  3   -356.83   -334.9     4.1
h  4  3    164.46    180.9     2.9
g  4  4     89.40     70.4    -4.3
h  4  4   -309.72   -329.5    -5.2
g  5  0   -230.87   -232.6    -0.2
g  5  1    357.29    360.1     0.5
h  5  1     44.58     47.3     0.6
g  5  2    200.26    192.4    -1.3
h  5  2    189.01    197.0     1.7
g  5  3   -141.05   -140.9    -0.1
h  5  3   -118.06   -119.3    -1.2
g  5  4   -163.17   -157.5     1.4
h  5  4     -0.01     16.0     3.4
g  5  5     -8.03      4.1     3.9
h  5  5    101.04    100.2     0.0
g  6  0     72.78     70.0    -0.3
g  6  1     68.69     67.7    -0.1
h  6  1    -20.90    -20.8     0.0
g  6  2     75.92     72.7    -0.7
h  6  2     44.18     33.2    -2.1
g  6  3   -141.40   -129.9     2.1
h  6  3     61.54     58.9    -0.7
g  6  4    -22.83    -28.9    -1.2
h  6  4    -66.26    -66.7     0.2
g  6  5     13.10     13.2     0.3
h  6  5      3.02      7.3     0.9
g  6  6    -78.09    -70.9     1.6
h  6  6     55.40     62.6     1.0
g  7  0     80.44     81.6     0.3
g  7  1    -75.00    -76.1    -0.2
h  7  1    -57.80    -54.1     0.8
g  7  2     -4.55     -6.8    -0.5
h  7  2    -21.20    -19.5     0.4
g  7  3     45.24     51.8     1.3
h  7  3      6.54      5.7    -0.2
g  7  4     14.00     15.0     0.1
h  7  4     24.96     24.4    -0.3
g  7  5     10.46      9.4    -0.6
h  7  5      7.03      3.4    -0.6
g  7  6      1.64     -2.8    -0.8
h  7  6    -27.61    -27.4     0.1
g  7  7      4.92      6.8     0.2
h  7  7     -3.28     -2.2    -0.2
g  8  0     24.41     24.2     0.2
g  8  1      8.21      8.8     0.0
h  8  1     10.84     10.1    -0.3
g  8  2    -14.50    -16.9    -0.6
h  8  2    -20.03    -18.3     0.3
g  8  3     -5.59     -3.2     0.5
h  8  3     11.83     13.3     0.1
g  8  4    -19.34    -20.6    -0.2
h  8  4    -17.41    -14.6     0.5
g  8  5     11.61     13.4     0.4
h  8  5     16.71     16.2    -0.2
g  8  6     10.85     11.7     0.1
h  8  6      6.96      5.7    -0.3
g  8  7    -14.05    -15.9    -0.4
h  8  7    -10.74     -9.1     0.3
g  8  8     -3.54     -2.0     0.3
h  8  8      1.64      2.1     0.0
g  9  0      5.50      5.4     0.0
g  9  1      9.45      8.8     0.0
h  9  1    -20.54    -21.6     0.0
g  9  2      3.45      3.1     0.0
h  9  2     11.51     10.8     0.0
g  9  3     -5.27     -3.3     0.0
h  9  3     12.75     11.8     0.0
g  9  4      3.13      0.7     0.0
h  9  4     -7.14     -6.8     0.0
g  9  5    -12.38    -13.3     0.0
h  9  5     -7.42     -6.9     0.0
g  9  6     -0.76     -0.1     0.0
h  9  6      7.97      7.8     0.0
g  9  7      8.43      8.7     0.0
h  9  7      2.14      1.0     0.0
g  9  8     -8.42     -9.1     0.0
h  9  8     -6.08     -4.0     0.0
g  9  9    -10.08    -10.5     0.0
h  9  9      7.01      8.4     0.0
g 10  0     -1.94     -1.9     0.0
g 10  1     -6.24     -6.3     0.0
h 10  1      2.73      3.2     0.0
g 10  2      0.89      0.1     0.0
h 10  2     -0.10     -0.4     0.0
g 10  3     -1.07      0.5     0.0
h 10  3      4.71      4.6     0.0
g 10  4     -0.16     -0.5     0.0
h 10  4      4.44      4.4     0.0
g 10  5      2.45      1.8     0.0
h 10  5     -7.22     -7.9     0.0
g 10  6     -0.33     -0.7     0.0
h 10  6     -0.96     -0.6     0.0
g 10  7      2.13      2.1     0.0
h 10  7     -3.95     -4.2     0.0
g 10  8      3.09      2.4     0.0
h 10  8     -1.99     -2.8     0.0
g 10  9     -1.03     -1.8     0.0
h 10  9     -1.97     -1.2     0.0
g 10 10     -2.80     -3.6     0.0
h 10 10     -8.31     -8.7     0.0
g 11  0      3.05      3.1     0.0
g 11  1     -1.48     -1.5     0.0
h 11  1      0.13     -0.1     0.0
